DRE,Articuladora,Rank_DRE,Escola,Tipo,Alunos,Score,Prioridade
DEA,Articuladora 1,1,COLÉGIO ESTADUAL PROFESSORA MARIA DAS GRAÇAS AZEVEDO MELO,Ensino Médio Parcial,190,0.708,Alta
DEA,Articuladora 1,2,CENTRO DE EXCELÊNCIA  VITÓRIA DE SANTA MARIA,Ensino Médio Parcial,629,0.56,Alta
DEA,Articuladora 1,3,COLÉGIO ESTADUAL LEONOR TELES DE MENEZES,Ensino Médio Parcial,247,0.531,Alta
DEA,Articuladora 1,4,COLÉGIO ESTADUAL PAULINO NASCIMENTO,Ensino Médio Parcial,196,0.512,Alta
DEA,Articuladora 1,5,COLEGIO ESTADUAL JACKSON DE FIGUEIREDO,Ensino Médio Parcial,595,0.474,Alta
DEA,Articuladora 2,1,COLEGIO ESTADUAL PROFESSOR ARICIO FORTES,Ensino Médio Parcial,318,0.612,Alta
DEA,Articuladora 2,2,COLÉGIO ESTADUAL SENADOR LEITE NETO,Ensino Médio Parcial,276,0.508,Alta
DEA,Articuladora 2,3,COLÉGIO ESTADUAL OLAVO BILAC,Ensino Médio Parcial,370,0.491,Alta
DEA,Articuladora 2,4,COLÉGIO ESTADUAL MONSENHOR CARLOS CAMÉLIO COSTA,Ensino Médio Parcial,225,0.489,Alta
DEA,Articuladora 2,5,COLÉGIO ESTADUAL IVO DO PRADO,Ensino Médio Parcial,439,0.468,Alta
DRE01,,1,COLÉGIO ESTADUAL DOUTOR ANTÔNIO GARCIA FILHO,Ensino Médio Parcial,400,0.635,Alta
DRE01,,2,COLEGIO ESTADUAL GUMERCINDO BESSA,Ensino Médio Parcial,882,0.549,Alta
DRE01,,3,COLEGIO ESTADUAL PROFESSOR GILSON AMADO,Ensino Médio Parcial,265,0.507,Alta
DRE01,,4,COLÉGIO ESTADUAL DIONÍZIO MACHADO,Ensino Médio Parcial,290,0.507,Alta
DRE01,,5,CENTRO DE EXCELÊNCIA ARQUIBALDO MENDONÇA,Ensino Médio Integral,291,0.49,Alta
DRE02,,1,COLEGIO ESTADUAL ABELARDO BARRETO DO ROSARIO,Ensino Médio Parcial,691,0.446,Alta
DRE02,,2,COLÉGIO ESTADUAL CARMEM DO PRADO DANTAS AMARAL,Ensino Médio Parcial,231,0.407,Média
DRE02,,3,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM  TEMPO INTEGRAL DOM MÁRIO RINO SIVIERI,Ensino Médio Parcial,424,0.388,Média
DRE02,,4,COLÉGIO ESTADUAL MONSENHOR JUAREZ SANTOS PRATA,Ensino Médio Parcial,124,0.373,Média
DRE02,,5,COLEGIO ESTADUAL SENADOR LOURIVAL BAPTISTA,Ensino Médio Parcial,259,0.363,Média
DRE03,,1,COLÉGIO ESTADUAL MURILO BRAGA,Ensino Profissional,1212,0.77,Alta
DRE03,,2,COLEGIO ESTADUAL PROFESSOR ARTUR FORTES,Ensino Médio Parcial,593,0.46,Alta
DRE03,,3,COLÉGIO ESTADUAL JOÃO SALONIO,Ensino Médio Parcial,289,0.458,Alta
DRE03,,4,COLÉGIO ESTADUAL DEPUTADO GUIDO AZEVEDO,Ensino Médio Parcial,434,0.433,Alta
DRE03,,5,CENTRO DE EXCELÊNCIA EMELIANO RIBEIRO,Ensino Médio Integral,300,0.386,Média
DRE04,,1,CENTRO DE EXCELÊNCIA EDELZIO VIEIRA DE MELO,Ensino Médio Parcial,436,0.575,Alta
DRE04,,2,COLÉGIO ESTADUAL JOSÉ AMARAL LEMOS,Ensino Médio Parcial,310,0.508,Alta
DRE04,,3,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL E PROFISSIONAL GOVERNADOR MARCELO DÉDA CHAGAS,Ensino Profissional,308,0.478,Alta
DRE04,,4,COLÉGIO ESTADUAL POETA JOSÉ SAMPAIO,Ensino Médio Parcial,273,0.426,Média
DRE04,,5,CENTRO DE EXCELÊNCIA PROFESSORA MARIA CONCEIÇÃO DE SANTANA,Ensino Médio Integral,146,0.42,Média
DRE05,,1,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL MARIA MONTESSORI,Ensino Médio Integral,133,0.52,Alta
DRE05,,2,COLÉGIO ESTADUAL MANOEL ALCINO DO NASCIMENTO,Ensino Médio Parcial,192,0.442,Alta
DRE05,,3,COLÉGIO ESTADUAL GENERAL CALAZANS,Ensino Médio Parcial,326,0.394,Média
DRE05,,4,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL NAÇÕES UNIDAS,Ensino Médio Parcial,188,0.392,Média
DRE05,,5,COLÉGIO ESTADUAL FRANCISCO FIGUEIREDO,Ensino Médio Parcial,577,0.373,Média
DRE06,,1,COLÉGIO ESTADUAL NOSSA SENHORA SANTANA,Ensino Médio Parcial,127,0.66,Alta
DRE06,,2,COLÉGIO ESTADUAL PROFESSORA ROBERTA RAMALHO DE SOUZA,Ensino Profissional,65,0.56,Alta
DRE06,,3,COLÉGIO ESTADUAL GOVERNADOR GERAL MANOEL DE MIRANDA,Ensino Médio Parcial,73,0.55,Alta
DRE06,,4,COLÉGIO ESTADUAL PROFESSORA MARIA VIEIRA DA SILVA SANTOS,Ensino Médio Parcial,72,0.534,Alta
DRE06,,5,CENTRO DE EXCELÊNCIA DR LUIZ GARCIA,Ensino Médio Integral,155,0.493,Alta
DRE07,,1,CENTRO DE EXCELÊNCIA QUILOMBOLA 27 DE MAIO,Ensino Médio Integral,69,0.473,Alta
DRE07,,2,COLÉGIO ESTADUAL CEL MAYNARD GOMES,Ensino Médio Parcial,218,0.454,Alta
DRE07,,3,COLÉGIO ESTADUAL PEDRO ALVES DE SOUZA,Ensino Médio Parcial,266,0.436,Alta
DRE07,,4,COLÉGIO ESTADUAL PROFESSORA MARIA ZENITE DOS SANTOS,Ensino Médio Parcial,61,0.43,Alta
DRE07,,5,CENTRO DE EXCELÊNCIA GOVERNADOR LOURIVAL BAPTISTA,Ensino Médio Integral,250,0.404,Média
DRE08,Articuladora 1,1,COLÉGIO ESTADUAL FELIPE TIAGO GOMES,Ensino Médio Parcial,274,0.549,Alta
DRE08,Articuladora 1,2,COLEGIO ESTADUAL PROFESSOR ANTONIO FONTES FREITAS,Ensino Médio Parcial,615,0.504,Alta
DRE08,Articuladora 1,3,CENTRO DE EXECELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL PROFESSORA MARIA DE LOURDES GOIS,Ensino Médio Parcial,403,0.502,Alta
DRE08,Articuladora 1,4,COLEGIO ESTADUAL PROFESSOR JOSE BARRETO FONTES,Ensino Médio Parcial,258,0.446,Alta
DRE08,Articuladora 1,5,COLÉGIO ESTADUAL HELIO WANDERLEY SOBRAL CARVALHO,Ensino Médio Parcial,621,0.421,Média
DRE08,Articuladora 2,1,COLEGIO ESTADUAL PROF LEAO MAGNO BRASIL,Ensino Médio Parcial,457,0.491,Alta
DRE08,Articuladora 2,2,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL PROFESSOR ROGACIANO MAGNO LEÃO BRASIL,Ensino Médio Integral,356,0.481,Alta
DRE08,Articuladora 2,3,COLEGIO ESTADUAL PRESIDENTE JUSCELINO KUBITSCHEK,Ensino Médio Parcial,696,0.478,Alta
DRE08,Articuladora 2,4,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL DR CARLOS FIRPO,Ensino Médio Integral,405,0.467,Alta
DRE08,Articuladora 2,5,COLÉGIO ESTADUAL ARMINDO GUARANÁ,Ensino Médio Parcial,622,0.459,Alta
DRE09,,1,COLÉGIO ESTADUAL PROFESSOR JOSÉ ARIBALDO DE CAMPOS LIMA,Ensino Profissional,160,0.52,Alta
DRE09,,2,COLÉGIO ESTADUAL DELMIRO DE MIRANDA BRITTO,Ensino Médio Parcial,774,0.483,Alta
DRE09,,3,CENTRO DE EXCELÊNCIA 28 DE JANEIRO,Ensino Médio Integral,584,0.481,Alta
DRE09,,4,COLÉGIO ESTADUAL PROFESSOR JUSTINIANO DE MELO E SILVA,Ensino Médio Parcial,456,0.462,Alta
DRE09,,5,COLÉGIO ESTADUAL CÍCERO BEZERRA,Ensino Médio Parcial,1238,0.416,Média
